State,District,Murder,Attempt_to_commit_Murder,Rape,Kidnapping_Abduction,Robbery,Burglary,Theft,Riots,Cheating,Hurt,Dowry_Deaths,Assault_on_Women,Sexual_Harassment,Stalking,Death_by_Negligence,Extortion,Incidence_of_Rash_Driving,Total
Andhra Pradesh,Anantapur,134,171,35,125,30,415,753,214,296,25,25,436,82,80,638,0,1038,4497
Andhra Pradesh,Chittoor,84,170,32,38,22,195,528,134,207,18,17,135,0,0,538,19,249,2386
Andhra Pradesh,Cuddapah,80,162,28,27,16,144,638,0,163,39,16,215,212,0,417,0,948,3105
Andhra Pradesh,East Godavari,64,84,85,66,24,346,903,27,214,44,7,519,159,55,668,32,39,3336
Andhra Pradesh,Guntakal Railway,14,4,0,0,4,0,413,1,5,0,0,0,0,0,4,0,1,446
Andhra Pradesh,Guntur,105,137,49,64,24,210,711,72,328,37,16,245,17,8,494,18,846,3381
Andhra Pradesh,Guntur Urban,51,65,40,84,31,173,1045,8,531,29,12,160,0,0,226,20,691,3166
Andhra Pradesh,Krishna,51,47,80,41,15,302,521,9,242,39,8,354,98,76,418,15,70,2386
Andhra Pradesh,Kurnool,118,135,32,53,28,244,563,94,639,9,12,403,81,40,506,27,1313,4297
Andhra Pradesh,Nellore,78,117,58,153,44,381,1058,74,239,31,14,295,79,32,466,17,1173,4309
Andhra Pradesh,Prakasham,75,68,50,50,23,247,617,120,261,18,8,197,24,13,502,11,785,3069
Andhra Pradesh,Rajahmundry,18,18,35,15,14,214,361,12,105,23,3,121,37,17,128,5,394,1520
Andhra Pradesh,Srikakulam,30,29,40,33,8,152,236,7,153,67,3,214,26,22,284,4,895,2203
Andhra Pradesh,Tirupathi Urban,35,72,18,24,8,227,1148,31,248,3,13,60,2,5,223,0,429,2546
Andhra Pradesh,Vijayawada City,23,45,64,42,48,345,2016,2,391,25,10,279,40,91,312,34,1366,5133
Andhra Pradesh,Vijayawada Railway,1,1,0,3,7,0,1085,0,7,0,2,8,4,0,1,1,0,1120
Andhra Pradesh,Visakha Rural,43,50,38,24,5,88,179,7,90,33,4,129,35,6,308,11,507,1557
Andhra Pradesh,Visakhapatnam,38,57,84,130,46,392,1358,0,413,64,13,147,50,27,360,8,1831,5018
Andhra Pradesh,Vizianagaram,43,23,47,27,4,176,388,13,149,41,8,225,0,0,272,5,913,2334
Andhra Pradesh,West Godavari,90,85,146,67,32,468,1096,19,410,52,24,405,126,32,614,49,1165,4880
Andhra Pradesh,Total,1175,1540,961,1066,433,4719,15617,844,5091,597,215,4547,1072,504,7379,276,14653,60689
Arunachal Pradesh,Anjaw,0,0,0,1,0,6,2,1,1,2,0,1,1,0,2,0,0,17
Arunachal Pradesh,Changlang,9,3,6,11,5,18,50,1,0,15,0,0,0,0,3,24,9,154
Arunachal Pradesh,Crime Branch,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
Arunachal Pradesh,Dibang Valley,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Arunachal Pradesh,Kameng East,4,1,1,7,4,8,18,0,3,18,0,6,0,0,0,7,0,77
Arunachal Pradesh,Kameng West,7,1,0,3,3,4,21,0,3,8,0,9,8,1,10,1,15,94
Arunachal Pradesh,Kukung Kumey,4,1,3,2,0,5,5,0,0,10,0,1,0,0,0,0,2,33
Arunachal Pradesh,Lohit,10,4,7,25,8,32,39,3,5,16,0,13,0,0,16,6,0,184
Arunachal Pradesh,Longding,4,3,3,9,1,9,5,0,0,13,0,3,1,0,2,8,0,61
Arunachal Pradesh,Lower Dibang Valley,2,5,3,4,1,10,21,0,2,10,0,0,0,0,4,3,4,69
Arunachal Pradesh,Papum Pare City,13,5,32,52,11,36,154,2,49,42,1,26,1,0,22,30,29,505
Arunachal Pradesh,Papum Pare Rural,7,3,0,7,3,6,20,2,2,9,0,4,0,0,4,4,0,71
Arunachal Pradesh,Siang East,5,0,11,4,3,20,49,0,5,23,0,21,8,0,10,7,14,180
Arunachal Pradesh,Siang Upper,1,0,1,0,0,8,8,0,1,2,0,1,0,0,2,1,0,25
Arunachal Pradesh,Siang West,10,4,6,2,4,18,29,2,13,30,0,11,0,0,6,3,13,151
Arunachal Pradesh,Subansiri Lower,4,3,1,7,10,22,18,3,6,22,0,6,0,0,0,4,0,106
Arunachal Pradesh,Subansiri Upper,3,2,5,2,5,11,33,1,5,19,0,16,0,0,2,9,16,129
Arunachal Pradesh,Tawang,1,3,0,0,0,2,14,0,0,2,0,1,0,0,2,2,0,27
Arunachal Pradesh,Tirap,2,10,3,10,3,9,12,0,5,6,0,2,2,0,0,12,0,76
Arunachal Pradesh,Total,86,48,83,146,61,224,498,15,103,247,1,121,21,1,85,121,102,1963
Assam,Barpeta,46,68,143,379,5,357,448,306,260,424,21,556,198,0,70,70,309,3660
Assam,Baska,31,28,26,41,16,42,124,0,26,115,4,27,0,0,53,46,31,610
Assam,Bongaigaon,17,23,31,51,12,84,190,15,55,98,4,8,0,0,77,0,85,750
Assam,Cachar,58,7,81,249,24,274,756,202,97,45,14,50,0,0,121,16,404,2398
Assam,Chirang,37,19,29,58,6,39,95,19,33,85,7,33,0,0,18,6,0,484
Assam,Darrang,33,2,111,208,17,174,363,82,211,447,11,453,33,0,28,2,236,2411
Assam,Dhemaji,18,5,45,84,15,26,106,0,52,136,3,51,3,0,50,27,25,646
Assam,Dhubri,58,143,193,420,21,280,432,531,272,1708,10,193,0,0,103,0,0,4364
Assam,Dibrugarh,77,7,67,163,43,150,826,12,40,330,5,105,0,0,104,17,0,1946
Assam,G. R. P.,9,0,1,10,2,2,187,5,2,0,0,0,0,0,0,9,0,227
Assam,Goalpara,44,62,108,218,23,243,266,52,137,360,8,121,0,0,70,0,0,1712
Assam,Golaghat,88,68,74,238,41,87,365,29,37,448,7,74,0,0,86,67,0,1709
Assam,Guwahati City,84,94,100,455,247,924,3095,155,449,179,11,143,50,0,283,174,447,6890
Assam,Hailakandi,24,1,77,104,3,93,178,287,44,13,4,23,0,0,36,0,0,887
Assam,Jorhat,30,3,36,94,76,145,518,7,169,259,6,157,0,0,13,73,325,1911
Assam,Kamrup,65,128,77,164,63,274,727,0,101,45,1,15,0,0,4,102,304,2070
Assam,Karbi Anglong,38,25,23,78,10,2,181,6,29,95,0,26,0,0,74,77,16,680
Assam,Karimganj,33,42,75,119,8,220,199,57,82,209,13,10,0,0,15,38,123,1243
Assam,Kokrajhar,60,21,45,106,7,46,229,10,35,80,3,47,0,0,82,25,0,796
Assam,Lakhimpur,40,0,67,150,7,137,236,37,115,35,4,55,0,0,82,28,68,1061
Assam,Morigaon,28,77,81,174,12,93,234,130,127,222,7,328,0,0,53,42,118,1726
Assam,N. C. Hills,76,8,6,30,5,17,46,4,4,19,0,0,0,0,18,18,0,251
Assam,Nagaon,104,102,187,454,127,455,735,483,175,909,22,350,174,0,239,174,331,5021
Assam,Nalbari,27,18,41,116,114,145,225,23,43,32,0,0,0,0,13,0,0,797
Assam,Sibsagar,80,38,44,222,42,196,599,31,95,811,6,153,0,0,67,39,0,2423
Assam,Sonitpur,110,81,112,222,27,282,566,90,146,227,5,20,0,0,168,102,229,2387
Assam,Tinsukia,90,44,66,143,45,106,679,47,96,109,3,66,0,0,114,34,151,1793
Assam,Udalguri,46,28,34,73,20,61,132,18,24,143,9,35,0,0,38,40,0,701
Assam,Total,1451,1142,1980,4823,1038,4954,12737,2638,2956,7583,188,3099,458,0,2079,1226,3202,51554
Bihar,Araria,53,176,35,85,28,49,310,306,108,26,17,1,0,0,95,12,52,1353
Bihar,Arwal,25,29,6,26,8,51,78,81,42,25,11,4,1,0,25,19,45,476
Bihar,Aurangabad,74,40,12,86,27,104,352,248,122,199,28,29,25,1,84,9,247,1687
Bihar,Bagaha,21,0,14,76,8,26,147,123,33,8,7,38,25,1,22,3,18,570
Bihar,Banka,59,143,22,73,19,41,143,100,10,327,23,3,0,0,109,23,87,1182
Bihar,Begusarai,121,199,30,209,60,145,598,461,89,79,28,37,2,3,89,124,258,2532
Bihar,Bettiah,75,9,33,115,11,121,497,508,155,10,39,0,0,0,134,41,68,1816
Bihar,Bhabhua,56,105,12,86,21,79,344,97,49,5,12,0,0,0,89,0,98,1053
Bihar,Bhagalpur,102,66,52,213,42,225,677,343,87,2,20,31,16,2,128,45,140,2191
Bihar,Bhojpur,116,243,32,151,23,224,520,98,426,611,46,7,2,0,138,158,126,2921
Bihar,Buxar,56,12,16,87,32,100,438,353,36,260,24,13,13,0,54,0,91,1585
Bihar,Darbhanga,71,179,50,289,36,145,585,615,120,373,30,8,8,0,149,11,140,2809
Bihar,Gaya,145,53,48,248,77,209,1366,536,73,907,63,0,0,0,289,74,419,4507
Bihar,Gopalganj,87,469,14,172,36,79,276,372,153,299,33,0,0,0,117,6,0,2113
Bihar,Jamalpur Railway,9,1,0,4,3,2,195,1,2,0,0,3,3,0,0,2,0,225
Bihar,Jamui,61,187,23,70,33,54,124,133,23,79,21,10,0,0,53,0,77,948
Bihar,Jehanabad,38,13,10,84,30,40,215,202,36,723,22,0,0,0,60,18,71,1562
Bihar,Katihar,70,60,65,144,33,84,447,238,71,169,14,0,0,0,93,27,108,1623
Bihar,Katihar Railway,10,9,0,3,8,4,182,4,4,4,0,11,3,0,6,0,0,248
Bihar,Khagaria,52,94,14,118,19,31,165,172,72,136,17,2,2,0,74,6,83,1057
Bihar,Kishanganj,46,6,64,122,12,52,261,168,75,298,12,22,1,0,24,2,59,1224
Bihar,Lakhisarai,46,97,10,66,20,21,181,143,39,60,8,63,43,0,94,20,75,986
Bihar,Madhepura,44,123,10,78,37,43,185,225,37,35,8,8,8,0,62,0,76,979
Bihar,Madhubani,74,335,41,199,33,124,410,406,35,323,34,9,9,0,114,12,127,2285
Bihar,Motihari,146,106,31,262,25,240,660,944,130,800,75,0,0,0,257,30,0,3706
Bihar,Munger,46,21,11,52,28,51,199,195,62,7,8,5,3,0,54,27,63,832
Bihar,Muzaffarpur,185,85,44,444,134,281,2097,659,330,2943,178,166,83,0,185,0,0,7814
Bihar,Muzaffarpur Railway,18,0,2,9,1,4,316,7,0,6,2,1,0,0,0,1,2,369
Bihar,Nalanda,107,52,29,207,58,95,464,325,157,630,59,4,0,0,115,0,371,2673
Bihar,Naugachia,37,4,10,54,16,17,76,84,25,10,10,3,3,0,75,14,44,482
Bihar,Nawadah,84,23,22,94,61,61,269,337,48,269,22,10,10,0,129,12,108,1559
Bihar,Patna,317,26,86,752,177,661,3952,636,1193,4572,83,0,0,0,493,92,0,13040
Bihar,Patna Railway,23,16,1,8,10,1,803,5,14,1,5,13,0,0,0,0,0,900
Bihar,Purnea,75,2,66,174,37,80,449,321,222,235,26,30,0,0,119,23,78,1937
Bihar,Rohtas,115,5,22,161,31,185,726,289,137,1468,54,0,0,0,208,31,139,3571
Bihar,Saharsa,41,118,14,115,27,46,289,549,148,36,19,0,0,0,46,0,58,1506
Bihar,Samastipur,122,205,38,255,61,119,567,380,124,285,39,0,0,0,110,0,0,2305
Bihar,Saran,144,331,37,249,53,196,617,442,211,424,83,0,0,0,145,0,0,2932
Bihar,Sheikhpura,26,0,5,51,11,36,113,136,93,72,6,18,1,0,25,0,0,593
Bihar,Sheohar,13,35,8,33,9,22,89,62,22,9,6,16,10,0,10,17,12,373
Bihar,Sitamarhi,91,335,11,220,63,165,579,345,16,101,29,0,0,0,96,61,88,2200
Bihar,Siwan,103,222,17,198,57,127,549,425,100,378,64,7,0,0,124,0,0,2371
Bihar,Supaul,64,87,32,132,23,49,274,573,72,37,22,0,0,0,95,19,57,1536
Bihar,Vaishali,135,58,28,296,62,185,1104,603,176,110,66,0,0,0,331,33,0,3187
Bihar,Economic Offences Unit,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10
Bihar,Anti Terrorist Squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,Total,3403,4379,1127,6570,1600,4674,22888,13250,5187,17351,1373,572,271,7,4719,972,3485,91828
Chhattisgarh,Balod,17,12,34,27,4,77,110,22,23,13,4,62,16,9,98,0,0,528
Chhattisgarh,Balodbazar,33,16,40,119,19,186,235,0,9,845,8,95,84,0,179,1,417,2286
Chhattisgarh,Balrampur,55,21,111,21,6,51,54,0,10,84,5,62,0,0,106,5,216,807
Chhattisgarh,Bemetra,21,8,41,30,7,104,119,0,17,18,3,56,0,0,103,0,0,527
Chhattisgarh,Bilaspur,72,34,94,216,49,378,488,80,58,112,13,211,49,15,283,10,178,2340
